City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
391,Morros,-9.4467,-46.3003,76.8,64,70,1.99,BR,2022-02-04 02:21:30
392,Graham,47.0529,-122.2943,47.12,91,20,0.0,US,2022-02-04 02:21:31
393,Poroschia,43.9333,25.3667,31.35,77,10,4.32,RO,2022-02-04 02:21:31
394,Nizhniy Kuranakh,58.8353,125.4869,-7.49,93,100,5.1,RU,2022-02-04 02:21:32
395,Monywa,22.1167,95.1333,63.93,57,0,11.77,MM,2022-02-04 02:21:32
396,Umm Kaddadah,13.6017,26.6876,66.25,18,3,20.02,SD,2022-02-04 02:21:32
397,Maldonado,-34.6667,-54.9167,71.22,97,100,3.31,UY,2022-02-04 02:21:33
398,Vila Velha,-20.3297,-40.2925,76.95,94,75,5.99,BR,2022-02-04 02:21:33
399,Ahipara,-35.1667,173.1667,77.4,69,88,14.43,NZ,2022-02-04 02:21:34
400,Berezovyy,51.6667,135.7,1.94,87,100,0.43,RU,2022-02-04 02:19:33
401,Bonavista,48.6499,-53.1147,38.12,87,100,29.33,CA,2022-02-04 02:21:34
402,Westport,41.1415,-73.3579,49.01,96,100,1.01,US,2022-02-04 02:19:46
403,Tezu,27.9167,96.1667,62.33,44,68,0.98,IN,2022-02-04 02:21:35
404,Besuki,-7.7338,113.6979,83.44,71,27,2.39,ID,2022-02-04 02:21:35
405,Okhotsk,59.3833,143.3,7.93,74,88,15.43,RU,2022-02-04 02:21:36
406,Show Low,34.2542,-110.0298,23.05,44,0,4.61,US,2022-02-04 02:21:36
407,Mount Isa,-20.7333,139.5,83.97,32,100,12.66,AU,2022-02-04 02:21:36
408,Nongpoh,25.9,91.8833,54.97,66,87,3.91,IN,2022-02-04 02:21:37
409,Zhadovka,53.5746,46.9498,32.23,99,100,5.28,RU,2022-02-04 02:21:37
410,Warri,5.5167,5.75,77.07,85,82,2.48,NG,2022-02-04 02:21:38
411,Peniche,39.3558,-9.3811,54.63,85,97,5.14,PT,2022-02-04 02:21:38
412,Khani,41.9563,42.9566,27.97,74,100,7.34,GE,2022-02-04 02:21:39
413,Bambous Virieux,-20.3428,57.7575,80.85,94,75,24.16,MU,2022-02-04 02:18:45
