,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,Irbeyskoye,RU,55.6428,95.4522,17.78,83,98,3.8,overcast clouds
333,Fare,PF,-16.7,-151.0167,80.65,74,3,14.83,clear sky
334,Bontang,ID,0.1333,117.5,83.14,73,77,9.95,broken clouds
335,Wajir,KE,1.7471,40.0573,88.72,40,100,11.77,overcast clouds
336,Kozhevnikovo,RU,56.2589,83.9714,22.24,92,100,11.25,overcast clouds
337,Marienburg,PL,54.0359,19.0266,42.12,99,100,7.58,overcast clouds
338,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,51,75,11.18,broken clouds
339,Urubicha,BO,-15.3833,-62.95,71.26,95,99,3.76,overcast clouds
340,Shakhovskaya,RU,56.0283,35.5097,16.56,95,95,6.02,overcast clouds
341,Sindou,BF,10.6667,-5.1667,71.85,14,3,4.47,clear sky
342,Kalaleh,IR,37.3807,55.4916,71.96,37,0,0.0,clear sky
343,Garmsar,IR,35.2182,52.3409,55.27,30,68,5.75,broken clouds
344,San Francisco,US,37.7749,-122.4194,55.09,74,20,1.01,few clouds
345,Mackay,AU,-21.15,149.2,79.68,85,100,17.94,light rain
