City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
533,Manggar,ID,83.14,scattered clouds,-2.8833,108.2667,Guest Hotel
535,Tres Lagoas,BR,72.05,light rain,-20.7511,-51.6783,Druds Express Hotel
536,Puerto Leguizamo,CO,71.38,overcast clouds,-0.1934,-74.7819,la casona de juancho
537,Balikpapan,ID,76.19,scattered clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
538,Nanakuli,US,71.55,clear sky,21.3906,-158.1547,Camp Pālehua
540,Misasi,TZ,74.66,light rain,-3.0,33.0833,
541,Maldonado,UY,72.14,overcast clouds,-34.6667,-54.9167,La Cimarrona
542,Soyo,AO,80.02,overcast clouds,-6.1349,12.3689,Hotel Mpampa
545,Bara,NG,69.58,clear sky,10.3744,10.7288,
546,Victor Harbor,AU,77.79,broken clouds,-35.5667,138.6167,McCracken Country Club
547,Santa Cruz Cabralia,BR,73.63,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
551,Mundo Nuevo,MX,71.08,overcast clouds,18.7,-95.5,
552,Prainha,BR,72.52,overcast clouds,-1.8,-53.48,Casa Rocha
553,Marawi,PH,71.65,overcast clouds,7.9986,124.2928,Derogongan Residence
555,Hualmay,PE,69.87,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
557,Oistins,BB,75.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
558,Codajas,BR,71.78,heavy intensity rain,-3.8367,-62.0569,Atlântic Hotel
560,Mount Darwin,ZW,79.75,light rain,-16.7725,31.5838,
561,Bandarbeyla,SO,79.75,clear sky,9.4942,50.8122,JABIR HOTEL
562,Riachao Do Jacuipe,BR,71.26,scattered clouds,-11.8069,-39.3856,Riachão Palace Hotel
564,Gwadar,PK,74.08,clear sky,25.1216,62.3254,Sadaf Resort
565,Innisfail,AU,79.3,light rain,-17.5333,146.0333,Moondarra Motel
576,Sorong,ID,83.46,broken clouds,-0.8833,131.25,Waigo Splash Hotel
579,Bandundu,CD,77.54,overcast clouds,-3.3167,17.3667,Coja Color
581,Curuca,BR,73.53,overcast clouds,-0.7289,-47.8481,Hotel Curuça
582,Saint-Georges,GD,74.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
